DATE,TICKER,fret1,fret2,fret3,fret4,fret5,fret6,fret7,fret8,fret9,fret10,fret11,fret12,roe,MKTCAP,SECTOR,B_P,E_P,roc,alpha1,alpha2,alpha3,alpha4
1/31/2014,ATW,-0.00021097,0.063304495,-0.016471522,-0.004237288,0.063424519,-0.082507622,0.026168224,-0.115766039,,,,,0.085801774,3042.772,10,1.020896,2.316137,0.045740551,0.166536251,0.345193016,1.200969167,0.877158977
1/31/2014,AVB,0.044291498,0.018221292,0.039826378,0.038740388,0.002467569,0.041423448,0.040653701,-0.085204413,0.105483436,0.031763347,0.01617016,0.058754924,-0.696816563,15982.52,40,-0.309287,-1.63342,-0.61740011,-0.557920982,-0.612046288,-1.16511799,-0.834085001
1/31/2014,AVP,0.038952317,-0.05365223,0.043715847,-0.064790576,0.022393282,-0.09650924,0.063636364,-0.102564103,-0.174603175,-0.059615385,-0.039877301,-0.175725746,-1.303202438,6458.824,30,-0.589985,0.676937,-0.941957046,-0.598655739,-0.701903091,-0.313132921,-0.629863288
1/31/2014,AVT,0.059897736,0.068917988,-0.073071137,0.010201716,0.016984163,-0.044685173,0.051500118,-0.067625253,0.042168675,0.012485549,-0.017583923,-0.032543418,-0.316784548,5680.981,45,2.609934,1.968366,-0.172135806,0.154687451,0.611425835,0.825790779,0.986182658
1/31/2014,AVY,0.01116298,0.017061421,-0.039668443,0.041923551,0.010848126,-0.078829268,0.019487397,-0.072304176,0.049272117,0.056776948,0.047869117,0.007515676,-0.087554291,4760.262,15,-0.324193,-0.209823,-0.106998258,-0.056115388,-0.112849227,-0.148688497,-0.177281163
1/31/2014,AWAY,0.122613803,-0.178766078,-0.134058933,-0.055793991,0.130519481,-0.002871913,-0.043778802,0.069277108,-0.016901408,-0.101432665,-0.050382653,0.215967046,-0.82149265,3730.441,45,-0.468818,-1.56931,,-0.531981388,-0.614024568,-1.195399587,-0.920277498
1/31/2014,AWI,-0.014188218,-0.029877938,-0.012957746,0.009703196,0.082155644,-0.152359394,0.184880855,-0.029126214,0.034696406,0.020359281,-0.008215962,0.101183432,-0.120558866,3015.29,20,-0.715777,-0.83277,-0.22956624,-0.383958319,-0.50921924,-0.476664265,-0.447416022
1/31/2014,AWK,0.053323937,0.012488849,0.002863436,0.067647705,0.017280395,-0.033973711,0.059451539,-0.047026279,0.106572673,-0.005995878,0.004712535,0.053282491,-0.473113881,7589.133,55,0.100874,-0.299762,-0.410037829,-0.141966921,-0.124313994,-0.386438096,-0.286279051
1/31/2014,AXE,0.219220246,-0.050771388,-0.034869976,0.051234946,-0.028446602,-0.140901369,0.037920205,-0.0491987,0.003889675,0.020312317,0.017951669,,-0.068140213,2854.486,45,0.240037,1.08377,0.177547446,0.243590194,0.285596704,0.507814685,0.296881589
1/31/2014,AXP,0.073629734,-0.013694128,-0.028879262,0.046551527,0.036830601,-0.072414884,0.017613636,-0.022445561,0.027530272,0.0274597,0.006708505,-0.130187093,0.789850047,90461.28,40,-1.250365,0.00962,-0.306116092,0.262138181,0.043324253,0.399734836,0.084738604
